weather_id,date,district,temperature_c,humidity_percent,rainfall_mm
W0001,2024-01-01,Ahmednagar,22.4,36.0,0.0
W0002,2024-01-05,Sangli,24.0,41.0,0.0
W0003,2024-01-07,Aurangabad,22.9,44.0,0.0
W0004,2024-01-07,Nanded,21.7,37.0,0.0
W0005,2024-01-08,Latur,20.7,33.0,0.0
W0006,2024-01-08,Nashik,22.4,53.0,0.0
W0007,2024-01-12,Latur,25.4,47.0,0.0
W0008,2024-01-12,Sangli,20.7,47.0,0.0
W0009,2024-01-13,Solapur,24.4,34.0,0.0
W0010,2024-01-14,Latur,23.4,44.0,0.0
W0011,2024-01-14,Sangli,23.5,36.0,0.0
W0012,2024-01-15,Nanded,25.1,43.0,0.0
W0013,2024-01-16,Kolhapur,20.3,57.0,20.2
W0014,2024-01-17,Sangli,21.6,35.0,0.0
W0015,2024-01-19,Ahmednagar,24.2,30.0,0.0
W0016,2024-01-19,Beed,24.0,34.0,0.0
W0017,2024-01-19,Latur,25.3,42.0,3.1
W0018,2024-01-19,Pune,24.0,38.0,0.0
W0019,2024-01-21,Pune,21.4,39.0,0.0
W0020,2024-01-22,Solapur,22.9,32.0,0.0
W0021,2024-01-25,Kolhapur,20.3,58.0,0.0
W0022,2024-01-25,Solapur,22.7,39.0,0.0
W0023,2024-01-26,Solapur,21.8,34.0,0.0
W0024,2024-01-27,Aurangabad,25.1,40.0,0.0
W0025,2024-01-27,Nashik,21.8,43.0,0.0
W0026,2024-01-30,Pune,23.9,45.0,0.0
W0027,2024-02-01,Jalgaon,26.1,47.0,0.0
W0028,2024-02-03,Aurangabad,20.5,37.0,0.0
W0029,2024-02-06,Kolhapur,19.7,58.0,21.0
W0030,2024-02-07,Aurangabad,25.1,41.0,0.0
W0031,2024-02-07,Satara,22.5,50.0,0.0
W0032,2024-02-08,Sangli,23.6,47.0,0.0
W0033,2024-02-09,Beed,22.7,40.0,0.0
W0034,2024-02-10,Pune,21.8,46.0,0.0
W0035,2024-02-11,Aurangabad,23.0,34.0,0.0
W0036,2024-02-11,Solapur,22.4,30.0,0.0
W0037,2024-02-13,Beed,23.3,32.0,0.0
W0038,2024-02-13,Kolhapur,19.6,56.0,0.0
W0039,2024-02-13,Nashik,21.7,45.0,0.0
W0040,2024-02-16,Nanded,22.8,46.0,0.0
W0041,2024-02-16,Satara,19.1,47.0,0.0
W0042,2024-02-17,Pune,20.3,50.0,0.0
W0043,2024-02-18,Beed,25.2,34.0,0.0
W0044,2024-02-18,Latur,22.9,40.0,0.0
W0045,2024-02-20,Aurangabad,23.0,43.0,0.0
W0046,2024-02-20,Beed,21.6,42.0,0.0
W0047,2024-02-21,Jalgaon,22.6,46.0,5.3
W0048,2024-02-21,Nashik,22.3,49.0,0.0
W0049,2024-02-22,Beed,24.6,37.0,0.0
W0050,2024-02-23,Nashik,23.4,51.0,0.0
W0051,2024-02-23,Satara,20.1,56.0,0.0
W0052,2024-02-24,Kolhapur,21.0,50.0,0.0
W0053,2024-02-27,Ahmednagar,20.6,42.0,0.0
W0054,2024-02-28,Pune,21.1,41.0,0.0
W0055,2024-03-02,Nanded,32.2,29.0,0.0
W0056,2024-03-04,Sangli,29.0,34.0,0.0
W0057,2024-03-05,Latur,33.1,21.0,0.0
W0058,2024-03-05,Nashik,27.6,27.0,0.0
W0059,2024-03-06,Nashik,29.9,29.0,0.0
W0060,2024-03-08,Sangli,31.2,31.0,0.0
W0061,2024-03-09,Ahmednagar,32.1,21.0,0.0
W0062,2024-03-12,Ahmednagar,29.2,25.0,0.0
W0063,2024-03-13,Beed,33.6,18.0,0.0
