yield_id,farmer_id,crop_id,harvest_year,total_yield_tons
Y0001,F0001,C0001,2026,2.7
Y0002,F0002,C0002,2026,41.0
Y0003,F0002,C0003,2026,0.3
Y0004,F0003,C0004,2024,10.7
Y0005,F0003,C0005,2026,15.5
Y0006,F0004,C0006,2025,12.6
Y0007,F0004,C0007,2025,133.2
Y0008,F0005,C0008,2025,1.8
Y0009,F0005,C0009,2026,20.2
Y0010,F0005,C0010,2025,3.2
Y0011,F0006,C0011,2026,32.1
Y0012,F0006,C0012,2026,102.5
Y0013,F0007,C0013,2025,6.6
Y0014,F0008,C0014,2027,149.3
Y0015,F0009,C0015,2025,60.9
Y0016,F0010,C0016,2025,8.4
Y0017,F0011,C0017,2024,2.7
Y0018,F0012,C0018,2026,112.2
Y0019,F0013,C0019,2026,13.7
Y0020,F0014,C0020,2024,13.3
Y0021,F0015,C0021,2027,163.2
Y0022,F0015,C0022,2027,746.6
Y0023,F0016,C0023,2027,118.7
Y0024,F0017,C0024,2025,122.5
Y0025,F0017,C0025,2026,260.6
Y0026,F0018,C0026,2025,8.4
Y0027,F0019,C0027,2026,316.5
Y0028,F0019,C0028,2025,11.7
Y0029,F0020,C0029,2027,67.2
Y0030,F0021,C0030,2026,8.5
Y0031,F0021,C0031,2025,413.9
Y0032,F0022,C0032,2027,17.8
Y0033,F0022,C0033,2026,4.4
Y0034,F0023,C0034,2025,41.3
Y0035,F0023,C0035,2025,56.8
Y0036,F0024,C0036,2026,142.1
Y0037,F0024,C0037,2027,558.0
Y0038,F0025,C0038,2025,6.4
Y0039,F0026,C0039,2025,22.3
Y0040,F0027,C0040,2026,0.9
Y0041,F0028,C0041,2026,10.8
Y0042,F0029,C0042,2026,11.9
Y0043,F0030,C0043,2024,142.8
Y0044,F0031,C0044,2026,71.1
Y0045,F0031,C0045,2025,6.0
Y0046,F0032,C0046,2024,1.6
Y0047,F0033,C0047,2025,43.0
Y0048,F0033,C0048,2025,2.4
Y0049,F0034,C0049,2024,6.2
Y0050,F0034,C0050,2027,6.8
Y0051,F0035,C0051,2027,209.5
Y0052,F0035,C0052,2026,92.8
Y0053,F0036,C0053,2026,1.7
Y0054,F0036,C0054,2024,2.2
Y0055,F0036,C0055,2027,89.4
Y0056,F0037,C0056,2025,5.7
Y0057,F0038,C0057,2025,138.1
Y0058,F0039,C0058,2025,78.2
Y0059,F0039,C0059,2026,4.9
Y0060,F0040,C0060,2024,121.4
Y0061,F0040,C0061,2026,198.8
Y0062,F0041,C0062,2026,7.2
Y0063,F0042,C0063,2027,9.3
Y0064,F0042,C0064,2025,2.6
Y0065,F0043,C0065,2025,4.7
Y0066,F0044,C0066,2026,18.5
Y0067,F0045,C0067,2026,105.8
Y0068,F0046,C0068,2024,6.8
Y0069,F0046,C0069,2025,17.0
Y0070,F0047,C0070,2025,9.9
Y0071,F0048,C0071,2025,12.8
Y0072,F0049,C0072,2026,251.2
Y0073,F0049,C0073,2025,17.2
Y0074,F0050,C0074,2025,164.2
Y0075,F0051,C0075,2027,363.8
Y0076,F0051,C0076,2027,407.3
Y0077,F0051,C0077,2025,196.6
Y0078,F0052,C0078,2026,26.8
Y0079,F0052,C0079,2026,12.9
Y0080,F0052,C0080,2026,30.5
Y0081,F0053,C0081,2025,102.4
Y0082,F0054,C0082,2025,15.4
Y0083,F0055,C0083,2026,93.3
Y0084,F0055,C0084,2025,121.1
Y0085,F0056,C0085,2026,156.4
Y0086,F0056,C0086,2027,24.6
Y0087,F0056,C0087,2027,51.4
Y0088,F0057,C0088,2025,162.4
Y0089,F0058,C0089,2026,310.4
Y0090,F0058,C0090,2026,268.0
Y0091,F0059,C0091,2024,6.6
Y0092,F0059,C0092,2025,3.5
Y0093,F0060,C0093,2024,127.0
Y0094,F0061,C0094,2025,8.0
Y0095,F0061,C0095,2024,95.3
Y0096,F0061,C0096,2026,13.4
Y0097,F0062,C0097,2027,6.8
Y0098,F0062,C0098,2026,269.5
Y0099,F0063,C0099,2025,124.4
Y0100,F0064,C0100,2027,7.7
Y0101,F0065,C0101,2025,6.1
Y0102,F0066,C0102,2027,4.8
Y0103,F0066,C0103,2025,6.4
Y0104,F0067,C0104,2026,11.8
Y0105,F0068,C0105,2026,102.0
Y0106,F0068,C0106,2024,6.6
Y0107,F0069,C0107,2024,2.2
Y0108,F0070,C0108,2024,0.8
Y0109,F0070,C0109,2025,1.3
Y0110,F0071,C0110,2025,100.4
Y0111,F0072,C0111,2027,162.6
Y0112,F0073,C0112,2025,43.5
Y0113,F0073,C0113,2025,6.9
Y0114,F0074,C0114,2025,215.2
Y0115,F0074,C0115,2026,2.9
Y0116,F0075,C0116,2025,4.5
Y0117,F0075,C0117,2027,94.7
Y0118,F0076,C0118,2025,2.1
Y0119,F0077,C0119,2026,92.8
Y0120,F0077,C0120,2025,9.2
Y0121,F0078,C0121,2027,191.1
Y0122,F0078,C0122,2026,6.0
Y0123,F0079,C0123,2026,84.8
Y0124,F0079,C0124,2027,25.4
Y0125,F0079,C0125,2026,9.6
Y0126,F0080,C0126,2024,6.0
Y0127,F0081,C0127,2025,19.8
Y0128,F0081,C0128,2025,1.9
Y0129,F0082,C0129,2025,1.6
Y0130,F0082,C0130,2027,17.6
Y0131,F0083,C0131,2027,151.2
Y0132,F0083,C0132,2024,7.6
Y0133,F0084,C0133,2027,76.2
Y0134,F0085,C0134,2025,88.1
Y0135,F0086,C0135,2026,14.5
Y0136,F0087,C0136,2027,127.9
Y0137,F0088,C0137,2027,15.0
Y0138,F0088,C0138,2026,120.0
Y0139,F0088,C0139,2026,25.7
Y0140,F0089,C0140,2024,5.5
Y0141,F0089,C0141,2027,98.6
Y0142,F0090,C0142,2025,15.8
Y0143,F0090,C0143,2025,1.7
Y0144,F0091,C0144,2025,10.3
Y0145,F0092,C0145,2025,44.8
Y0146,F0092,C0146,2024,5.4
Y0147,F0093,C0147,2026,3.9
Y0148,F0093,C0148,2027,66.2
Y0149,F0094,C0149,2024,4.8
Y0150,F0094,C0150,2026,8.3
Y0151,F0095,C0151,2025,19.7
Y0152,F0095,C0152,2027,235.2
Y0153,F0095,C0153,2026,11.6
Y0154,F0096,C0154,2026,104.5
Y0155,F0096,C0155,2026,65.9
Y0156,F0096,C0156,2026,8.8
Y0157,F0097,C0157,2027,23.5
Y0158,F0098,C0158,2027,122.6
Y0159,F0098,C0159,2026,75.4
Y0160,F0098,C0160,2025,49.4
Y0161,F0099,C0161,2025,164.4
Y0162,F0099,C0162,2027,113.1
Y0163,F0100,C0163,2025,172.6
Y0164,F0101,C0164,2026,65.1
Y0165,F0101,C0165,2025,6.6
Y0166,F0101,C0166,2026,143.8
Y0167,F0102,C0167,2025,4.2
Y0168,F0102,C0168,2026,5.9
Y0169,F0103,C0169,2026,3.4
Y0170,F0104,C0170,2027,11.3
Y0171,F0104,C0171,2025,234.2
Y0172,F0105,C0172,2026,11.0
Y0173,F0106,C0173,2025,55.0
Y0174,F0107,C0174,2025,7.2
Y0175,F0107,C0175,2025,299.1
Y0176,F0108,C0176,2025,1.7
Y0177,F0108,C0177,2026,3.0
Y0178,F0109,C0178,2025,573.3
Y0179,F0109,C0179,2027,24.9
Y0180,F0109,C0180,2026,105.8
Y0181,F0110,C0181,2025,5.3
Y0182,F0110,C0182,2027,22.7
Y0183,F0110,C0183,2025,5.3
Y0184,F0111,C0184,2025,29.7
Y0185,F0111,C0185,2026,3.4
Y0186,F0112,C0186,2025,10.2
Y0187,F0113,C0187,2026,7.1
Y0188,F0114,C0188,2026,157.3
Y0189,F0114,C0189,2026,8.3
Y0190,F0114,C0190,2025,46.2
Y0191,F0115,C0191,2024,4.5
Y0192,F0115,C0192,2026,18.5
Y0193,F0115,C0193,2026,107.2
Y0194,F0116,C0194,2025,9.5
Y0195,F0116,C0195,2026,532.8
Y0196,F0117,C0196,2026,69.3
Y0197,F0118,C0197,2026,110.8
Y0198,F0119,C0198,2025,134.0
Y0199,F0119,C0199,2026,60.7
Y0200,F0120,C0200,2025,8.9
Y0201,F0121,C0201,2027,161.1
Y0202,F0122,C0202,2027,176.5
Y0203,F0123,C0203,2024,9.2
Y0204,F0123,C0204,2025,128.2
Y0205,F0124,C0205,2026,1.5
Y0206,F0125,C0206,2027,233.3
Y0207,F0125,C0207,2026,279.7
Y0208,F0126,C0208,2025,28.2
Y0209,F0127,C0209,2025,44.1
Y0210,F0128,C0210,2024,2.7
Y0211,F0129,C0211,2024,2.7
Y0212,F0129,C0212,2026,126.6
Y0213,F0130,C0213,2026,157.1
Y0214,F0131,C0214,2025,13.3
Y0215,F0131,C0215,2026,38.0
Y0216,F0131,C0216,2025,218.0
Y0217,F0132,C0217,2026,293.0
Y0218,F0132,C0218,2026,81.1
Y0219,F0133,C0219,2026,32.9
Y0220,F0133,C0220,2026,244.3
Y0221,F0134,C0221,2026,24.3
Y0222,F0134,C0222,2026,13.7
Y0223,F0135,C0223,2025,147.1
Y0224,F0136,C0224,2026,9.5
Y0225,F0136,C0225,2027,12.4
Y0226,F0136,C0226,2026,4.2
Y0227,F0137,C0227,2026,17.0
Y0228,F0137,C0228,2026,27.4
Y0229,F0138,C0229,2024,74.5
Y0230,F0139,C0230,2025,73.0
Y0231,F0139,C0231,2024,2.6
Y0232,F0139,C0232,2024,5.2
Y0233,F0140,C0233,2027,15.4
Y0234,F0141,C0234,2024,7.2
Y0235,F0142,C0235,2025,304.3
Y0236,F0143,C0236,2025,414.4
Y0237,F0144,C0237,2025,23.0
Y0238,F0145,C0238,2026,59.2
Y0239,F0146,C0239,2026,135.6
Y0240,F0147,C0240,2027,365.9
